school_id,school_name,city,state,imagery_source,imagery_vintage,campus_resolution_notes,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_classroom_count,portable_classroom_count_confidence,perimeter_fencing,perimeter_fencing_confidence,dominant_fence_type,dominant_fence_type_confidence,running_track,running_track_confidence,full_size_sports_fields,full_size_sports_fields_confidence,hard_courts,hard_courts_confidence,pool,pool_confidence,review_status,failure_notes
010282001124,Wedowee Middle School,Wedowee,AL,USDA National Agriculture Imagery Program (NAIP),2023-10-07,"Matched 'Wedowee High School' from OSM node/358947714; name similarity 1.000, CCD-to-center distance 2.1 m, candidate margin 0.900. Match did not meet the automatic polygon/name/distance thresholds. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.60,none,0.60,none,0.60,no,0.60,0,0.60,0,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
040963000996,Kofa High School,Yuma,AZ,USDA National Agriculture Imagery Program (NAIP),2023-06-17,"Matched 'Kofa High School' from OSM way/692830430; name similarity 1.000, CCD-to-center distance 162.5 m, candidate margin 0.536. Match passed the frozen automatic-resolution thresholds.",no,0.60,0,0.60,0,0.60,unknown,0.20,unknown,0.20,yes,0.60,unknown,0.20,unknown,0.20,no,0.60,needs-review,"Pipeline review required: solar_present, solar_area_m2, portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
060483000471,Beverly Hills High,Beverly Hills,CA,USDA National Agriculture Imagery Program (NAIP),2022-05-11,"Matched 'Beverly Hills High School' from OSM way/490406994; name similarity 1.000, CCD-to-center distance 75.1 m, candidate margin 0.571. Match passed the frozen automatic-resolution thresholds.",unknown,0.20,unknown,0.20,0,0.96,full,0.60,chain-link,0.60,yes,0.96,1,0.96,3,0.60,no,0.96,needs-review,"Pipeline review required: solar_present, solar_area_m2, perimeter_fencing, dominant_fence_type, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
061734009378,Cerra Vista Elementary,Hollister,CA,USDA National Agriculture Imagery Program (NAIP),2022-05-14,"Matched 'Cerra Vista School' from OSM way/27420396; name similarity 1.000, CCD-to-center distance 30.1 m, candidate margin 0.560. Match passed the frozen automatic-resolution thresholds.",unknown,0.20,unknown,0.20,0,0.96,partial,0.60,chain-link,0.60,no,0.96,1,0.60,4,0.60,no,0.96,needs-review,"Pipeline review required: solar_present, solar_area_m2, perimeter_fencing, dominant_fence_type, full_size_sports_fields, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
060001909278,Wells Middle,Dublin,CA,USDA National Agriculture Imagery Program (NAIP),2022-05-19,"Matched 'Wells Middle School' from OSM way/349649806; name similarity 1.000, CCD-to-center distance 61.2 m, candidate margin 0.570. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.60,unknown,0.20,none,0.60,yes,0.60,2,0.60,1,0.60,no,0.60,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, running_track, full_size_sports_fields, hard_courts, pool. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
130333001308,Lincoln County Elementary School,Lincolnton,GA,USDA National Agriculture Imagery Program (NAIP),2023-10-03,"Matched 'Lincoln County Elementary School' from OSM node/358723199; name similarity 1.000, CCD-to-center distance 28.6 m, candidate margin 0.896. Match did not meet the automatic polygon/name/distance thresholds. Gemini boundary proposal is used only to center and size a generously buffered crop; it is not an authoritative campus boundary or measurement mask. The facility model must inspect the entire detail image and flag ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.96,partial,0.60,chain-link,0.60,no,0.96,0,0.96,0,0.96,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,Pocatello,ID,USDA National Agriculture Imagery Program (NAIP),2023-07-14,"Matched 'Wilcox Elementary' from OSM way/546871116; name similarity 0.571, CCD-to-center distance 87.1 m, candidate margin 0.299. Match did not meet the automatic polygon/name/distance thresholds. User manually approved the proposed OSM campus polygon on 2026-09-03. User approved the proposed campus polygon in the project review; no boundary correction or shared-facility exception was specified.",no,0.96,0,0.96,0,0.96,partial,0.60,chain-link,0.60,no,0.96,1,0.60,0,0.96,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type, full_size_sports_fields. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
160000100084,PRIEST RIVER LAMANNA HIGH,Priest River,ID,USDA National Agriculture Imagery Program (NAIP),2023-10-30,"Matched 'Priest River High School' from OSM way/1463051126; name similarity 0.750, CCD-to-center distance 81.6 m, candidate margin 0.064. Match is usable for a provisional crop but requires human review. User manually approved the proposed OSM campus polygon on 2026-09-03. User approved the proposed campus polygon in the project review; no boundary correction or shared-facility exception was specified.",no,0.96,0,0.96,0,0.60,none,0.60,none,0.60,yes,0.96,2,0.96,0,0.60,no,0.96,needs-review,"Pipeline review required: portable_classroom_count, perimeter_fencing, dominant_fence_type, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
180283000341,Zionsville Community High School,Zionsville,IN,USDA National Agriculture Imagery Program (NAIP),2022-06-21,"Matched 'Zionsville Community High School' from OSM way/1019893422; name similarity 1.000, CCD-to-center distance 214.0 m, candidate margin 0.324. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,none,0.60,none,0.96,yes,0.96,2,0.96,0,0.60,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
240039000683,Bel Air High,Bel Air,MD,USDA National Agriculture Imagery Program (NAIP),2023-05-27,"Matched 'Bel Air High School' from OSM way/84503619; name similarity 1.000, CCD-to-center distance 188.1 m, candidate margin 0.043. Match is usable for a provisional crop but requires human review. User manually approved the proposed OSM campus polygon on 2026-09-03. User approved the proposed campus polygon in the project review; no boundary correction or shared-facility exception was specified.",unknown,0.20,unknown,0.20,0,0.96,full,0.96,chain-link,0.96,yes,0.96,1,0.60,1,0.60,no,0.96,needs-review,"Pipeline review required: solar_present, solar_area_m2, full_size_sports_fields, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
263039006679,Thompson Middle School,Saginaw,MI,USDA National Agriculture Imagery Program (NAIP),2022-08-11,"Matched 'Willie E. Thompson Middle School' from OSM way/632753597; name similarity 0.640, CCD-to-center distance 3.5 m, candidate margin 0.294. Match is usable for a provisional crop but requires human review. User manually approved the proposed OSM campus polygon on 2026-09-03. User approved the proposed campus polygon in the project review; no boundary correction or shared-facility exception was specified.",no,0.96,0,0.96,0,0.96,full,0.60,chain-link,0.60,no,0.96,1,0.96,0,0.96,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
270543000204,Bertha Secondary,Bertha,MN,USDA National Agriculture Imagery Program (NAIP),2023-07-26,"No named public school candidate was found within 1,500 metres. No trustworthy polygon was available. The stored public/CCD center controls an 800 m crop; the facility model must search the entire detail image and flag all ownership or perimeter ambiguity.",no,0.96,0,0.96,0,0.96,partial,0.60,chain-link,0.60,no,0.96,2,0.60,0,0.60,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type, full_size_sports_fields, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
330246000063,Rundlett Middle School,Concord,NH,USDA National Agriculture Imagery Program (NAIP),2023-08-31,"Matched 'Rundlett Middle School' from OSM way/741698495; name similarity 1.000, CCD-to-center distance 42.7 m, candidate margin 0.647. Match passed the frozen automatic-resolution thresholds.",no,0.96,0,0.96,0,0.96,partial,0.60,chain-link,0.60,no,0.96,2,0.96,0,0.60,no,0.96,needs-review,"Pipeline review required: perimeter_fencing, dominant_fence_type, hard_courts. Confidence is post-freeze empirical reliability by pipeline risk stratum; see outputs/full_pipeline_evaluation.json."
