school_id,school_name,city,state,imagery_source,imagery_vintage,campus_resolution_notes,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_classroom_count,portable_classroom_count_confidence,perimeter_fencing,perimeter_fencing_confidence,dominant_fence_type,dominant_fence_type_confidence,running_track,running_track_confidence,full_size_sports_fields,full_size_sports_fields_confidence,hard_courts,hard_courts_confidence,pool,pool_confidence,review_status,failure_notes
010282001124,Wedowee Middle School,Wedowee,AL,,,,,,,,,,,,,,,,,,,,,,unreviewed,
040963000996,Kofa High School,Yuma,AZ,,,,,,,,,,,,,,,,,,,,,,unreviewed,
060483000471,Beverly Hills High,Beverly Hills,CA,USDA NAIP,2022-05-11,Campus confirmed; shared northwest Heath Avenue structure excluded from attribution.,no,0.80,0,0.80,0,0.60,partial,0.40,chain-link,0.40,yes,0.80,1,0.80,6,0.60,no,0.80,reviewed,"campus: northwest Heath Avenue structure is shared/ownership-uncertain and excluded from attribution. portable_classroom_count: temporary rectangular objects in the active 2022 construction area appear to be excluded construction trailers/storage; confidence capped at 0.60. perimeter_fencing: reviewer judges visible outer-boundary coverage to be partial (20-80%); incomplete aerial boundary resolution limits confidence to 0.40. dominant_fence_type: reviewer judges the visible perimeter barrier to be predominantly chain-link; unresolved segments/materials limit confidence to 0.40. hard_courts: primary 2022 NAIP count is 4 northwest plus 2 east = 6; a later Google view shows an additional 4-unit west slab, so dates are not combined and confidence is capped at 0.60."
061734009378,Cerra Vista Elementary,Hollister,CA,USDA NAIP,2022-05-14,"Automatic OSM polygon match confirmed: Cerra Vista School; 1.000 name similarity, 30.1 m CCD distance, 0.560 candidate margin.",no,0.80,0,0.80,0,0.80,partial,0.60,chain-link,0.60,no,0.80,2,0.80,4,0.80,no,0.80,reviewed,"solar_present and solar_area_m2: reviewer finds only parking/carport canopy solar; approximately 920 m2 of excluded canopy arrays are documented but the qualifying rooftop value is no/0. perimeter_fencing: partial and dominant_fence_type: chain-link were user-approved, with aerial-only confidence 0.60. raw model 0.95 suggestions were capped at 0.80 because context/detail are one NAIP source."
060001909278,Wells Middle,Dublin,CA,,,,,,,,,,,,,,,,,,,,,,unreviewed,
130333001308,Lincoln County Elementary School,Lincolnton,GA,USDA NAIP,2023-10-03,Soft boundary used only for centering and crop size; the entire detail image was reviewed because ownership boundaries were non-authoritative.,no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,no,0.80,0,0.80,unknown,0.20,no,0.80,reviewed,"hard_courts: reviewer sees hard courts in the southwest but imagery does not support a defensible count, so the count is unknown at 0.20. perimeter_fencing and dominant_fence_type: raw none/none retained but confidence capped at 0.40 because the scope is non-authoritative and directional/coverage checks conflicted."
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,Pocatello,ID,USDA NAIP,2023-07-14,"Matched 'Wilcox Elementary' from OSM way/546871116; name similarity 0.571, CCD-to-center distance 87.1 m, candidate margin 0.299. User manually approved the proposed OSM campus polygon on 2026-09-03.",no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,no,0.80,0,0.80,0,0.80,no,0.80,reviewed,All nine raw VLM values were user-approved. perimeter_fencing and dominant_fence_type: final none/none confidence is capped at 0.40 because the auditor found portions of the outer boundary unobservable. hard_courts: visible small or half-court/play markings do not form a complete independently playable court and are excluded by the frozen definition.
160000100084,PRIEST RIVER LAMANNA HIGH,Priest River,ID,USDA NAIP,2023-10-30,"Matched 'Priest River High School' from OSM way/1463051126; name similarity 0.750, CCD-to-center distance 81.6 m, candidate margin 0.064. User manually approved the proposed OSM campus polygon on 2026-09-03.",no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,yes,0.80,2,0.80,0,0.80,no,0.80,reviewed,"All nine raw VLM values were user-approved. perimeter_fencing and dominant_fence_type: final none/none confidence is capped at 0.40 because tree cover and incomplete boundary visibility triggered the uncertainty layer. full_size_sports_fields: reviewer approved two separately playable fields, including the field east of the track."
180283000341,Zionsville Community High School,Zionsville,IN,USDA NAIP,2022-06-21,"Matched 'Zionsville Community High School' from OSM way/1019893422; name similarity 1.000, CCD-to-center distance 214.0 m, candidate margin 0.324. Match passed the frozen automatic-resolution thresholds.",no,0.80,0,0.80,0,0.80,none,0.40,none,0.40,yes,0.80,2,0.80,0,0.60,no,0.60,reviewed,"perimeter_fencing and dominant_fence_type: reviewer approved none/none, but the VLM reported substantial unobservable perimeter and confidence is capped at 0.40. hard_courts: reviewer corrected raw 6 to 0 because no outdoor hard courts are visible; a possible indoor facility is outside overhead-image observability. pool: no outdoor pool is visible; possible indoor facilities cannot be assessed from aerial imagery."
240039000683,Bel Air High,Bel Air,MD,USDA NAIP,2023-05-27,"Matched 'Bel Air High School' from OSM way/84503619; name similarity 1.000, CCD-to-center distance 188.1 m, candidate margin 0.043. User manually approved the proposed OSM campus polygon on 2026-09-03.",yes,0.80,1150,0.60,0,0.80,full,0.60,chain-link,0.60,yes,0.80,7,0.80,6,0.80,no,0.80,reviewed,solar_area_m2: reviewer approved approximately 1150 m2; confidence is capped at 0.60 because the VLM candidate polygon was overbroad (4744.1 m2) and failed the structural area-consistency check. perimeter fencing and dominant fence type: reviewer approved full/chain-link from aerial imagery at 0.60. full_size_sports_fields: reviewer corrected raw 4 to 7 after counting the separately playable field footprints.
